,Date,Regular nums,Supplementary nums
93,12.04.2019,"[16, 30, 14, 21, 37]","[8, 4]"
94,05.04.2019,"[31, 22, 50, 43, 44]","[9, 1]"
95,29.03.2019,"[42, 15, 24, 9, 4]","[8, 9]"
96,22.03.2019,"[24, 20, 49, 44, 15]","[9, 7]"
97,15.03.2019,"[19, 2, 11, 1, 47]","[7, 2]"
98,08.03.2019,"[29, 45, 4, 30, 31]","[7, 1]"
99,01.03.2019,"[24, 7, 19, 18, 16]","[1, 6]"
100,22.02.2019,"[26, 25, 14, 21, 16]","[10, 8]"
101,15.02.2019,"[30, 24, 31, 1, 47]","[7, 9]"
102,08.02.2019,"[26, 21, 24, 5, 8]","[5, 4]"
103,01.02.2019,"[6, 45, 47, 38, 29]","[2, 3]"
104,25.01.2019,"[24, 35, 28, 48, 25]","[8, 4]"
105,18.01.2019,"[2, 9, 36, 47, 23]","[9, 2]"
106,11.01.2019,"[49, 35, 6, 39, 12]","[9, 4]"
107,04.01.2019,"[25, 3, 32, 10, 43]","[3, 1]"
108,28.12.2018,"[38, 31, 24, 40, 19]","[10, 7]"
109,21.12.2018,"[20, 34, 49, 16, 3]","[10, 2]"
110,14.12.2018,"[30, 24, 26, 4, 14]","[10, 9]"
111,07.12.2018,"[16, 42, 31, 4, 21]","[6, 4]"
112,30.11.2018,"[18, 22, 35, 41, 36]","[3, 4]"
113,23.11.2018,"[46, 28, 22, 31, 17]","[5, 10]"
114,16.11.2018,"[45, 13, 15, 18, 39]","[5, 6]"
115,09.11.2018,"[8, 46, 32, 34, 49]","[3, 5]"
116,02.11.2018,"[5, 42, 33, 17, 27]","[9, 10]"
117,26.10.2018,"[44, 18, 19, 33, 38]","[4, 10]"
118,19.10.2018,"[9, 48, 32, 12, 28]","[7, 8]"
119,12.10.2018,"[26, 50, 42, 31, 6]","[2, 9]"
120,05.10.2018,"[32, 12, 44, 49, 15]","[5, 7]"
121,28.09.2018,"[40, 3, 18, 8, 13]","[6, 10]"
122,21.09.2018,"[8, 16, 42, 46, 5]","[2, 10]"
123,14.09.2018,"[49, 33, 35, 24, 46]","[9, 5]"
124,07.09.2018,"[28, 36, 4, 43, 7]","[1, 6]"
125,31.08.2018,"[24, 6, 9, 18, 3]","[7, 2]"
126,24.08.2018,"[26, 25, 8, 48, 38]","[6, 9]"
127,17.08.2018,"[12, 2, 43, 44, 32]","[3, 4]"
128,10.08.2018,"[4, 17, 21, 15, 23]","[6, 7]"
129,03.08.2018,"[25, 31, 12, 4, 8]","[8, 7]"
130,27.07.2018,"[40, 50, 43, 2, 22]","[8, 3]"
131,20.07.2018,"[43, 33, 42, 40, 13]","[9, 7]"
132,13.07.2018,"[13, 46, 34, 14, 21]","[5, 2]"
133,06.07.2018,"[38, 7, 45, 24, 2]","[5, 8]"
134,29.06.2018,"[47, 18, 30, 9, 48]","[4, 6]"
135,22.06.2018,"[16, 35, 33, 24, 43]","[6, 7]"
136,15.06.2018,"[21, 9, 5, 7, 1]","[3, 10]"
137,08.06.2018,"[39, 5, 22, 13, 36]","[10, 9]"
138,01.06.2018,"[14, 21, 19, 30, 32]","[7, 4]"
139,25.05.2018,"[15, 46, 40, 31, 35]","[8, 3]"
140,18.05.2018,"[23, 1, 11, 41, 44]","[2, 8]"
141,11.05.2018,"[37, 17, 39, 14, 3]","[10, 5]"
142,04.05.2018,"[26, 49, 24, 29, 36]","[3, 6]"
143,27.04.2018,"[33, 21, 9, 32, 31]","[9, 10]"
144,20.04.2018,"[46, 22, 25, 28, 24]","[4, 2]"
145,13.04.2018,"[25, 10, 3, 34, 21]","[7, 10]"
146,06.04.2018,"[16, 8, 23, 50, 6]","[4, 8]"
147,30.03.2018,"[15, 5, 29, 32, 17]","[7, 5]"
148,23.03.2018,"[4, 14, 42, 22, 33]","[1, 10]"
149,16.03.2018,"[37, 27, 48, 49, 4]","[3, 4]"
150,09.03.2018,"[23, 28, 15, 33, 36]","[7, 4]"
151,02.03.2018,"[27, 16, 20, 46, 18]","[3, 5]"
152,23.02.2018,"[26, 46, 18, 42, 33]","[10, 4]"
153,16.02.2018,"[4, 19, 25, 8, 44]","[10, 9]"
154,09.02.2018,"[46, 8, 24, 34, 7]","[8, 4]"
155,02.02.2018,"[15, 29, 41, 24, 33]","[7, 8]"
156,26.01.2018,"[23, 29, 10, 26, 35]","[5, 3]"
157,19.01.2018,"[47, 45, 3, 9, 17]","[4, 9]"
158,12.01.2018,"[25, 17, 16, 40, 44]","[9, 2]"
159,05.01.2018,"[40, 2, 38, 45, 7]","[10, 7]"
160,29.12.2017,"[16, 43, 40, 33, 30]","[2, 4]"
161,22.12.2017,"[32, 16, 40, 26, 47]","[1, 6]"
162,15.12.2017,"[18, 12, 16, 7, 1]","[4, 1]"
163,08.12.2017,"[9, 20, 24, 34, 15]","[5, 1]"
164,01.12.2017,"[5, 29, 20, 16, 30]","[2, 7]"
165,24.11.2017,"[11, 22, 43, 18, 16]","[7, 8]"
166,17.11.2017,"[4, 3, 41, 47, 17]","[5, 2]"
167,10.11.2017,"[14, 17, 1, 50, 24]","[9, 8]"
168,03.11.2017,"[35, 2, 45, 50, 44]","[6, 7]"
169,27.10.2017,"[23, 29, 50, 2, 20]","[4, 5]"
170,20.10.2017,"[10, 25, 46, 1, 49]","[6, 1]"
171,13.10.2017,"[9, 44, 46, 40, 43]","[1, 8]"
172,06.10.2017,"[28, 44, 40, 17, 5]","[8, 1]"
173,29.09.2017,"[15, 12, 2, 44, 29]","[10, 7]"
174,22.09.2017,"[17, 47, 36, 32, 10]","[5, 2]"
175,15.09.2017,"[47, 33, 15, 22, 29]","[3, 7]"
176,08.09.2017,"[40, 48, 42, 38, 11]","[5, 4]"
177,01.09.2017,"[19, 3, 9, 4, 28]","[7, 1]"
178,25.08.2017,"[28, 20, 45, 41, 11]","[9, 5]"
179,18.08.2017,"[32, 4, 20, 34, 1]","[6, 3]"
180,11.08.2017,"[40, 21, 13, 23, 14]","[1, 3]"
181,04.08.2017,"[39, 44, 46, 47, 18]","[4, 6]"
182,28.07.2017,"[40, 45, 26, 14, 18]","[1, 5]"
183,21.07.2017,"[27, 36, 38, 35, 48]","[2, 3]"
184,14.07.2017,"[49, 3, 9, 25, 31]","[9, 8]"
185,07.07.2017,"[15, 17, 30, 16, 23]","[9, 6]"
186,30.06.2017,"[11, 31, 1, 3, 18]","[6, 3]"
187,23.06.2017,"[6, 14, 27, 35, 19]","[2, 4]"
188,16.06.2017,"[31, 24, 38, 1, 25]","[7, 1]"
189,09.06.2017,"[13, 24, 47, 17, 20]","[8, 5]"
190,02.06.2017,"[4, 17, 46, 2, 20]","[1, 8]"
191,26.05.2017,"[11, 13, 3, 23, 15]","[1, 9]"
192,19.05.2017,"[41, 33, 22, 50, 46]","[6, 2]"
193,12.05.2017,"[31, 14, 7, 46, 35]","[2, 1]"
194,05.05.2017,"[41, 11, 42, 23, 8]","[8, 6]"
195,28.04.2017,"[3, 38, 45, 39, 41]","[5, 3]"
196,21.04.2017,"[49, 44, 27, 31, 46]","[6, 8]"
197,14.04.2017,"[49, 6, 46, 22, 33]","[1, 5]"
198,07.04.2017,"[46, 45, 27, 43, 10]","[8, 4]"
199,31.03.2017,"[44, 14, 8, 40, 34]","[1, 7]"
200,24.03.2017,"[25, 30, 44, 36, 26]","[3, 9]"
201,17.03.2017,"[38, 25, 3, 45, 16]","[8, 7]"
202,10.03.2017,"[18, 20, 35, 13, 46]","[7, 8]"
203,03.03.2017,"[7, 3, 16, 18, 25]","[10, 2]"
204,24.02.2017,"[13, 19, 7, 20, 1]","[8, 6]"
205,17.02.2017,"[40, 49, 19, 7, 18]","[5, 6]"
206,10.02.2017,"[13, 23, 44, 31, 42]","[2, 5]"
207,03.02.2017,"[39, 47, 5, 17, 4]","[3, 4]"
208,27.01.2017,"[15, 12, 29, 19, 48]","[7, 9]"
209,20.01.2017,"[40, 23, 5, 25, 35]","[5, 8]"
210,13.01.2017,"[45, 2, 26, 44, 21]","[1, 6]"
211,06.01.2017,"[14, 27, 7, 23, 35]","[3, 5]"
212,30.12.2016,"[27, 30, 50, 47, 45]","[9, 1]"
213,23.12.2016,"[46, 13, 27, 42, 30]","[4, 3]"
214,16.12.2016,"[2, 34, 25, 24, 3]","[6, 8]"
215,09.12.2016,"[29, 17, 44, 12, 50]","[2, 10]"
216,02.12.2016,"[39, 48, 1, 20, 50]","[3, 7]"
217,25.11.2016,"[19, 45, 49, 34, 28]","[1, 6]"
218,18.11.2016,"[16, 7, 40, 10, 32]","[6, 1]"
219,11.11.2016,"[42, 18, 47, 16, 1]","[6, 8]"
220,04.11.2016,"[15, 16, 50, 22, 14]","[2, 10]"
221,28.10.2016,"[12, 4, 6, 13, 1]","[1, 6]"
222,21.10.2016,"[28, 35, 14, 16, 34]","[3, 9]"
223,14.10.2016,"[42, 10, 25, 7, 39]","[3, 6]"
224,07.10.2016,"[1, 43, 20, 44, 10]","[9, 6]"
225,30.09.2016,"[39, 4, 44, 29, 28]","[10, 8]"
226,23.09.2016,"[1, 45, 7, 25, 23]","[8, 5]"
227,16.09.2016,"[28, 30, 15, 37, 43]","[5, 2]"
228,09.09.2016,"[11, 27, 35, 34, 39]","[10, 6]"
229,02.09.2016,"[30, 28, 15, 50, 42]","[8, 1]"
230,26.08.2016,"[9, 33, 4, 8, 43]","[5, 9]"
231,19.08.2016,"[46, 22, 33, 43, 42]","[10, 6]"
