,Date,Regular nums,Supplementary nums
409,22.03.2013,"[43, 21, 48, 12, 5]","[5, 6]"
410,15.03.2013,"[4, 30, 32, 50, 41]","[5, 7]"
411,08.03.2013,"[30, 10, 14, 12, 43]","[2, 5]"
412,01.03.2013,"[44, 19, 34, 28, 29]","[5, 1]"
413,22.02.2013,"[49, 3, 41, 13, 46]","[8, 3]"
414,15.02.2013,"[32, 9, 26, 40, 4]","[3, 5]"
415,08.02.2013,"[43, 12, 14, 17, 27]","[1, 7]"
416,01.02.2013,"[2, 26, 29, 14, 4]","[6, 7]"
417,25.01.2013,"[37, 4, 38, 13, 28]","[8, 7]"
418,18.01.2013,"[21, 13, 45, 9, 28]","[7, 6]"
419,11.01.2013,"[37, 31, 6, 41, 49]","[2, 3]"
420,04.01.2013,"[45, 6, 40, 20, 29]","[5, 8]"
421,28.12.2012,"[39, 32, 8, 5, 22]","[8, 7]"
422,21.12.2012,"[11, 24, 20, 25, 35]","[4, 8]"
423,14.12.2012,"[31, 35, 17, 28, 39]","[5, 8]"
424,07.12.2012,"[42, 20, 13, 22, 27]","[5, 3]"
425,30.11.2012,"[21, 2, 24, 13, 37]","[6, 7]"
426,23.11.2012,"[50, 1, 21, 32, 36]","[2, 5]"
427,16.11.2012,"[4, 1, 21, 26, 7]","[4, 7]"
428,09.11.2012,"[44, 29, 38, 41, 25]","[8, 3]"
429,02.11.2012,"[12, 5, 7, 31, 3]","[5, 7]"
430,26.10.2012,"[19, 22, 7, 18, 17]","[5, 4]"
431,19.10.2012,"[18, 14, 6, 48, 19]","[8, 3]"
432,12.10.2012,"[43, 6, 49, 17, 11]","[4, 8]"
433,05.10.2012,"[26, 28, 49, 40, 50]","[7, 2]"
434,28.09.2012,"[5, 14, 16, 39, 34]","[6, 1]"
435,21.09.2012,"[41, 49, 29, 44, 18]","[5, 1]"
436,14.09.2012,"[14, 15, 47, 10, 24]","[4, 8]"
437,07.09.2012,"[15, 23, 25, 46, 49]","[2, 4]"
438,31.08.2012,"[40, 28, 8, 42, 22]","[8, 4]"
439,24.08.2012,"[49, 20, 9, 21, 33]","[7, 5]"
440,17.08.2012,"[34, 35, 3, 30, 16]","[2, 5]"
441,10.08.2012,"[40, 46, 48, 6, 11]","[3, 6]"
442,03.08.2012,"[12, 25, 24, 18, 15]","[4, 5]"
443,27.07.2012,"[9, 34, 35, 23, 22]","[1, 3]"
444,20.07.2012,"[9, 13, 25, 6, 14]","[8, 1]"
445,13.07.2012,"[12, 8, 31, 27, 37]","[6, 3]"
446,06.07.2012,"[38, 22, 24, 10, 33]","[6, 2]"
447,29.06.2012,"[8, 5, 19, 36, 33]","[2, 3]"
448,22.06.2012,"[14, 49, 16, 47, 13]","[1, 7]"
449,15.06.2012,"[17, 6, 10, 42, 18]","[3, 1]"
450,08.06.2012,"[44, 36, 10, 16, 15]","[7, 8]"
451,01.06.2012,"[34, 38, 28, 37, 11]","[3, 7]"
452,25.05.2012,"[32, 11, 41, 26, 4]","[5, 7]"
453,18.05.2012,"[46, 43, 12, 44, 18]","[5, 4]"
454,11.05.2012,"[38, 21, 39, 47, 15]","[1, 5]"
455,04.05.2012,"[29, 45, 41, 35, 30]","[5, 3]"
456,27.04.2012,"[40, 13, 10, 19, 45]","[3, 5]"
457,20.04.2012,"[30, 16, 45, 41, 10]","[2, 8]"
458,13.04.2012,"[12, 27, 32, 5, 11]","[3, 1]"
459,06.04.2012,"[36, 38, 34, 8, 7]","[5, 4]"
460,30.03.2012,"[19, 5, 7, 12, 26]","[1, 5]"
461,23.03.2012,"[5, 46, 37, 21, 8]","[8, 6]"
